"Title","URL"
"Lead Tester (Life & Annuities)","https://www.dice.com/job-detail/8582562f-0124-4a61-a7cb-6f9fd77dbe83"
"Manual QA Tester/UI Focus","https://www.dice.com/job-detail/59161a05-61ac-4e20-b43f-b2a831ab9a02"
"SENIOR QA TESTER - Massachusets candidates only","https://www.dice.com/job-detail/b17ba440-2051-4511-83c8-9c7569096da9"
"Gen AI Tester (SDLC)","https://www.dice.com/job-detail/61c99897-9927-44df-8b33-674a2619a459"
"Embedded Tester DVT Role","https://www.dice.com/job-detail/149a5441-9428-48b2-a4bb-32b0140f6cc7"
"Lead QA Automation Engineer","https://www.dice.com/job-detail/f03e9fd8-93ab-42c4-ba50-0fc055ccdf42"
"Lead Data Tester (Azure)","https://www.dice.com/job-detail/22f1089e-9db6-4e1b-9f06-bbafa84f5cfd"
"Mainframe Tester (Telecom Domain) __Richardson, TX 75082 (Onsite day1)","https://www.dice.com/job-detail/2efd9e2a-affd-4050-9146-ff531c2a551c"
"Data Analytics / Data Quality Testing - Tableau / Alteryx","https://www.dice.com/job-detail/084765c2-465d-49d5-83d4-9379ff6012a2"
"QA Automation - TOSCA","https://www.dice.com/job-detail/ea03df54-69b0-4c9f-9a6f-f3660423c507"
"QA Tester","https://www.dice.com/job-detail/e6e88a1a-4da5-4587-a136-f8f82cef6cdf"
"Senior Integration Tester REMOTE","https://www.dice.com/job-detail/f0681413-b802-4e58-bb1b-b04dcfc53f97"
"Performance Testing Engineer","https://www.dice.com/job-detail/2eea2948-2335-4e00-8f3c-cdedd1d563da"
"Senior Product Manager","https://www.dice.com/job-detail/f1ee7a8e-8ce2-420d-aa41-26a4224f7f49"
"Test Manager","https://www.dice.com/job-detail/7d626a28-fba0-40c5-ad40-621fd238d939"
"Business Analyst","https://www.dice.com/job-detail/28e66569-f595-42f7-8729-6d2b74d18e1e"
"Software Test Analyst 5 - Onsite : (IN Person interview)","https://www.dice.com/job-detail/93d19da3-5fda-44bd-ba9c-06fb2e416fc1"
"QA Consultant","https://www.dice.com/job-detail/98a7679f-857e-4aaa-86b6-c44cbd76e609"
"Test Analyst","https://www.dice.com/job-detail/0305acad-b43c-4959-8c25-bff9c611b815"
"QA Tester","https://www.dice.com/job-detail/71865e9c-e008-42e0-a46b-32c42b140c6b"
"QA Tester | Quality Tester | Quality Analyst | Manual Tester","https://www.dice.com/job-detail/a1e53206-52f5-4623-b519-dcbee0c760e2"
"DevSecOps Automated Testing Subject Matter Expert (SME)","https://www.dice.com/job-detail/e80d7271-60d9-4e3c-8cce-628ff65be1b5"
"Application Developer","https://www.dice.com/job-detail/b18580bc-6e03-460d-beaa-57cd5f2a0d07"
"Software Development Engineer in Test (SDET(: (Multiple Openings)","https://www.dice.com/job-detail/1085a906-d6f6-40d4-b841-5a1b6bd284e1"
"Senior Snowflake Engineer","https://www.dice.com/job-detail/90cf005c-0628-41b6-94f3-5d4f0bac696f"
"Embedded Test Engineer (Bluetooth Protocol tools Sodera, nRF sniffers, Power Analyzer tools)","https://www.dice.com/job-detail/ffe3a846-c1b0-4dd9-ab6f-21b2f6ac4ec2"
"Security Engineer","https://www.dice.com/job-detail/86db1d31-8def-4f2b-8ccc-f324468b0f08"
"Remote Full Stack Developer - Angular/React/Spring","https://www.dice.com/job-detail/322a5ad3-7bc9-4628-8836-b195fb235056"
"ServiceNow Developer","https://www.dice.com/job-detail/e1292208-a68e-4304-9748-3cde51e835d7"
